rebalance_date,hold_end,year,n_universe_base,n_universe_russell,n_russell_excluded,pct_dropped,long_ret,short_ret,ls_ret_base,ls_gross_base,ls_cost_base,ls_ret_vm,ls_gross_vm,ls_cost_vm,trailing_vol,vol_scale,vol_scale_active,long_scale_bn,short_scale_bn,final_long_scale,final_short_scale,mean_beta_long,mean_beta_short,long_turnover,short_turnover,avg_turnover,mkt_ret,ic,n_long,n_short
2021-04-01,2021-07-01,2021,519,489,270,24.948875255623722,0.07531946408433461,-0.017809909049032978,0.07534683251489867,0.0871662088021166,0.011819376287217919,0.0430614091775456,0.04981629165288565,0.006754882475340046,0.17497530608958412,0.5715092159850366,True,1.1915322403604376,0.8084677596395625,0.6809716565092878,0.4620467754607854,0.9056909803318223,1.3348213209517925,0.2702702702702703,0.3108108108108108,0.29054054054054057,0.03126971636165814,0.19220056285098672,74,74
2021-07-01,2021-10-01,2021,502,450,520,25.11111111111111,-0.09480977288666055,0.133248380558122,-0.0043364817295901,0.0038916301771787787,0.00822811190676888,-0.0023061489937248117,0.002069576116465792,0.004375725110190608,0.1880399636532575,0.5318018471030888,True,1.187562201810988,0.8124377981890122,0.6315477724728944,0.4320559217332831,0.9366810668648164,1.369171932473108,0.19117647058823528,0.16176470588235295,0.1764705882352941,-0.06619925876062893,0.06130636100311289,68,68
2021-10-01,2022-01-01,2021,481,455,520,24.175824175824175,-0.011668602771364436,0.11841157145263932,0.08507357405887508,0.09191289653167203,0.00683932247279695,0.05216213685395783,0.05635560913675499,0.004193472282797156,0.1630944957202613,0.613141477021514,True,1.166584913893828,0.8334150861061721,0.7152815971758775,0.5110013568671506,0.9163995042838975,1.282743562745138,0.10144927536231885,0.13043478260869565,0.11594202898550725,-0.045156019106701716,0.19804528981298683,69,69
2022-01-01,2022-04-01,2022,465,442,520,26.018099547511312,-0.13614516656210865,0.0524757186440634,-0.11295900507944891,-0.10434430726044139,0.008614697819007517,-0.06511741984542643,-0.06015130940272874,0.004966110442697683,0.17346971877507933,0.5764694881973027,True,1.1552826831948577,0.8447173168051422,0.6659852171045463,0.48695375929005913,0.9705673890148327,1.327402286061028,0.16666666666666666,0.21212121212121213,0.1893939393939394,-0.08619292831941076,-0.14109452550207255,66,66
2022-04-01,2022-07-01,2022,468,443,520,23.47629796839729,-0.1716525595384345,0.3135390295601718,0.08956949671503556,0.09859638931205916,0.009026892597023588,0.045196890416784305,0.04975187275423973,0.004554982337455404,0.19817623710186277,0.5046013662505859,True,1.1078274530766221,0.8921725469233777,0.5590112463923704,0.4501914861088014,1.0384668562654804,1.289483852028768,0.16176470588235295,0.23529411764705882,0.1985294117647059,-0.1956673095725621,0.19232358521412357,68,68
2022-07-01,2022-10-01,2022,501,444,757,24.774774774774773,-0.06004996785734773,0.0005327251915411141,-0.06591624141218348,-0.055715952475478656,0.010200288936704832,-0.031415148260153666,-0.026553772939324788,0.004861375320828881,0.2098231110237678,0.4765919231303003,True,1.1056242042791498,0.8943757957208501,0.526931565776808,0.42625228048379254,1.0278288284768247,1.270598372694052,0.16417910447761194,0.3283582089552239,0.2462686567164179,-0.026053630298361625,-0.024373362894761486,67,67
2022-10-01,2023-01-01,2022,475,441,757,23.12925170068027,0.054748527551530694,0.025473110612112493,0.08291332993594866,0.09011570584348447,0.007202375907535795,0.04488069702252906,0.0487793180427943,0.003898621020265242,0.18474162710603206,0.5412965208031064,True,1.0919437553314986,0.9080562446685014,0.5910653556736186,0.49152768593259416,1.0429342756304316,1.2541354967627294,0.16176470588235295,0.10294117647058823,0.1323529411764706,0.049327629446247995,0.08252143719227846,68,68
2023-01-01,2023-04-01,2023,447,423,757,24.34988179669031,0.02948269288742192,-0.011585082076473078,0.023827550432597495,0.030272291363593093,0.006444740930995602,0.015397334842690295,0.019561918792250457,0.004164583949560164,0.15475113502457438,0.6461988145296644,True,1.1443939835275225,0.8556060164724776,0.7395060355103654,0.5528915935489636,0.9886840200741063,1.3223890697348866,0.109375,0.125,0.1171875,0.02206844515883065,0.05380772033366929,64,64
2023-04-01,2023-07-01,2023,451,420,757,25.0,0.035195969050376585,-0.08291472463903565,-0.03934523245774049,-0.03185979705398694,0.007485435403753555,-0.02703606676173421,-0.02189245167358099,0.005143615088153225,0.14552868508753722,0.6871497529153708,True,1.0708955545798238,0.9291044454201762,0.7358656157276949,0.6384338901030467,1.0311577623229666,1.1885232808704884,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.04124372266712438,0.04389703026860523,63,63
2023-07-01,2023-10-01,2023,477,457,770,26.695842450765863,-0.04809472899282278,0.10683705430711067,0.04229137828271225,0.051843535882590566,0.00955215759987833,0.02765848674784692,0.03390558095753311,0.006247094209686193,0.15290561146120699,0.6539982348873479,True,1.1061818736038695,0.8938181263961303,0.72344099280131,0.5845554769733856,0.9775610009126167,1.2098213580783272,0.1791044776119403,0.2537313432835821,0.2164179104477612,-0.07340588521701565,0.09092940306956615,67,67
2023-10-01,2024-01-01,2023,462,444,770,27.47747747747748,0.119201677920615,-0.17951118910594116,-0.01995288086996666,-0.012433109957411731,0.0075197709125549355,-0.013675238938340523,-0.00852136343229469,0.005153875506045839,0.14590517182135546,0.6853766645259073,True,1.1351017474308254,0.8648982525691747,0.777972249551668,0.5927810795001467,1.0015800481433579,1.3144844026013878,0.13846153846153847,0.16923076923076924,0.15384615384615385,0.14691117036364026,-0.034797959607107604,65,65
