year,ticker,list_kind,priced,entry_date,exit_date,price_col,return,benchmark_ret,abnormal_ret
2019,SONM,addition,True,2019-06-10,2019-06-28,adjClose,-0.25685931115002913,0.028299177250638685,-0.2851584884006678
2020,SONM,deletion,True,2020-06-15,2020-06-26,adjClose,-0.14,-0.030640470954920174,-0.10935952904507984
2022,SPIR,addition,True,2022-06-06,2022-06-24,adjClose,-0.26315789473684215,-0.06551746377655376,-0.19764043096028838
2023,SPIR,deletion,True,2023-05-22,2023-06-23,adjClose,-0.35527603074772895,0.01571050492389836,-0.3709865356716273
2016,SPNE,deletion,True,2016-06-13,2016-06-24,adjClose,-0.009146341463414642,-0.019684696454071005,0.010538354990656362
2018,SPNE,addition,True,2018-06-11,2018-06-22,adjClose,-0.03849000740192443,0.0062960964203993,-0.04478610382232373
2017,SPNS,deletion,True,2017-06-01,2017-06-23,adjClose,-0.08515624999789473,0.014105793450912563,-0.09926204344880729
2020,SPNS,addition,True,2020-06-15,2020-06-26,adjClose,-0.01716124419224674,-0.030640470954920174,0.013479226762673435
2021,SPOK,deletion,True,2021-06-07,2021-06-25,adjClose,-0.13957597173989522,0.009467139915354084,-0.1490431116552493
2023,SPOK,addition,True,2023-05-22,2023-06-23,adjClose,0.01328266015076629,0.01571050492389836,-0.0024278447731320707
2020,SREV,addition,True,2020-06-15,2020-06-26,adjClose,0.0512820512820511,-0.030640470954920174,0.08192252223697127
2021,SREV,deletion,True,2021-06-07,2021-06-25,adjClose,0.0840336134453783,0.009467139915354084,0.07456647353002421
2017,SRNE,deletion,True,2017-06-01,2017-06-23,adjClose,0.19354838709677424,0.014105793450912563,0.17944259364586168
2018,SRNE,addition,True,2018-06-11,2018-06-22,adjClose,-0.08391608391608396,0.0062960964203993,-0.09021218033648326
2022,SRRK,deletion,True,2022-06-06,2022-06-24,adjClose,0.17786561264822143,-0.06551746377655376,0.2433830764247752
2023,SRRK,addition,True,2023-05-22,2023-06-23,adjClose,0.198931909212283,0.01571050492389836,0.18322140428838463
2017,SRT,addition,True,2017-06-01,2017-06-23,adjClose,0.06344950848972308,0.014105793450912563,0.04934371503881052
2019,SRT,addition,True,2019-06-10,2019-06-28,adjClose,0.0394402035623409,0.028299177250638685,0.011141026311702218
2022,SRT,deletion,True,2022-06-06,2022-06-24,adjClose,-0.04747774480712175,-0.06551746377655376,0.018039718969432017
2016,STE,deletion,True,2016-06-13,2016-06-24,adjClose,-0.04299502778494835,-0.019684696454071005,-0.023310331330877343
2017,STE,addition,True,2017-06-01,2017-06-23,adjClose,0.044691125008594845,0.014105793450912563,0.030585331557682283
2020,STIM,deletion,True,2020-06-15,2020-06-26,adjClose,0.10526315789473695,-0.030640470954920174,0.13590362884965712
2021,STIM,addition,True,2021-06-07,2021-06-25,adjClose,0.1208360548661005,0.009467139915354084,0.11136891495074641
2022,STIM,deletion,True,2022-06-06,2022-06-24,adjClose,0.15753424657534243,-0.06551746377655376,0.2230517103518962
2022,STRC,addition,False,,,,,,
2023,STRC,deletion,False,,,,,,
2016,STRS,addition,True,2016-06-13,2016-06-24,adjClose,0.10303030303233585,-0.019684696454071005,0.12271499948640685
2021,STRS,deletion,True,2021-06-07,2021-06-25,adjClose,-0.002821442968089616,0.009467139915354084,-0.0122885828834437
2022,STRS,addition,True,2022-06-06,2022-06-24,adjClose,-0.2661903664454027,-0.06551746377655376,-0.20067290266884896
2020,STXS,addition,True,2020-06-15,2020-06-26,adjClose,-0.11494252873563215,-0.030640470954920174,-0.08430205778071198
2022,STXS,deletion,True,2022-06-06,2022-06-24,adjClose,-0.0700934579439253,-0.06551746377655376,-0.004575994167371533
2022,SUNL,addition,False,,,,,,
2023,SUNL,deletion,False,,,,,,
2018,SURF,addition,True,2018-06-11,2018-06-22,adjClose,0.1324456902592852,0.0062960964203993,0.1261495938388859
2021,SURF,addition,True,2021-06-07,2021-06-25,adjClose,-0.05696202531645567,0.009467139915354084,-0.06642916523180975
2022,SURF,deletion,True,2022-06-06,2022-06-24,adjClose,-0.011235955056179803,-0.06551746377655376,0.05428150872037396
2018,SVRA,addition,True,2018-06-11,2018-06-22,adjClose,0.06649168853893261,0.0062960964203993,0.060195592118533314
2021,SVRA,deletion,True,2021-06-07,2021-06-25,adjClose,-0.03804347826086962,0.009467139915354084,-0.04751061817622371
2023,SVRA,addition,True,2023-05-22,2023-06-23,adjClose,0.10852713178294571,0.01571050492389836,0.09281662685904735
2020,SWKH,addition,True,2020-06-15,2020-06-26,adjClose,-0.01384615385645882,-0.030640470954920174,0.016794317098461353
2021,SWKH,deletion,True,2021-06-07,2021-06-25,adjClose,0.0820385332522624,0.009467139915354084,0.07257139333690832
