company,symbol,sector,list_kind,index_kind,source_file
INTREPID POTASH INC,IPI,Materials & Processing,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
INVUITY INC,IVTY,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
ION GEOPHYSICAL CORP,IO,Energy,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
JAZZ PHARMACEUTICALS PLC,JAZZ,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
JG WENTWORTH CO,JGW,Financial Services,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
KEY ENERGY SERVICES INC,KEG,Energy,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
LANTHEUS HOLDINGS INC,LNTH,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
LIVANOVA PLC,LIVN,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
LUXOFT HOLDING INC,LXFT,Technology,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
MARIN SOFTWARE INC,MRIN,Technology,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
MAXPOINT INTERACTIVE INC,MXPT,Technology,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
MODUSLINK GLB SOLUTIONS,MLNK,Technology,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
MORGANS HOTEL GROUP CO,MHGC,Consumer Discretionary,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
NAVIDEA BIOPHARMA INC,NAVB,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
NAVIOS MARITIME HOLDINGS,NM,Producer Durables,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
NIVALIS THERAPEUTICS,NVLS,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
NORDIC AMERICAN OFFSHORE,NAO,Energy,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
NORTH ATLANTIC DRILLING,NADL,Energy,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
NORTHWEST BIOTHERAPEUTIC,NWBO,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
NORTHWEST PIPE CO,NWPX,Materials & Processing,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
NOVATEL WIRELESS INC,MIFI,Technology,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
NUVECTRA CORPORATION,NVTR,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
ONCOCYTE CORPORATION,OCX,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
OREXIGEN THERAPEUTICS,OREX,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
PAPA MURPHYS HLDGS INC,FRSH,Consumer Discretionary,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
PENDRELL CORPORATION,PCO,Utilities,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
PEREGRINE PHARMACEUTICAL,PPHM,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
PERNIX THERAPEUTICS HLDG,PTX,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
PROTEON THERAPEUTICS INC,PRTO,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
QUANTUM CORP,QTM,Technology,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
RENTECH INC,RTK,Materials & Processing,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
REX ENERGY CORP,REXX,Energy,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
ROCKET FUEL INC,FUEL,Technology,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
SAFE BULKERS INC,SB,Producer Durables,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
SEACHANGE INTERNATIONAL,SEAC,Technology,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
SEASPINE HOLDINGS CORP,SPNE,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
SENOMYX INC,SNMX,Materials & Processing,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
SEQUENOM INC,SQNM,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
SIENTRA INC,SIEN,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
SIZMEK INC,SZMK,Consumer Discretionary,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
SKULLCANDY INC,SKUL,Consumer Discretionary,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
STERIS PLC,STE,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
STONE ENERGY CORP,SGY,Energy,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
STONEGATE MORTGAGE CORP,SGM,Financial Services,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
SYNTA PHARMA CORP,SNTA,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
THRESHOLD PHARMACEUTICAL,THLD,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
TRANSATLANTIC PETROLEUM,TAT,Energy,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
TRAVELZOO INC,TZOO,Technology,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
TRIANGLE PETE CORP,TPLM,Energy,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
TWIN DISC INC,TWIN,Producer Durables,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
ULTRAPETROL BAHAMAS LTD,ULTR,Producer Durables,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
UNILIFE CORP,UNIS,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
UNIVERSAL TECHNICAL INST,UTI,Consumer Discretionary,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
URANIUM ENERGY CORP,UEC,Materials & Processing,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
VERASTEM INC,VSTM,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
VIOLIN MEMORY INC,VMEM,Technology,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
VIVUS INC,VVUS,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
VOLT INFORMATION SCIENCE,VISI,Producer Durables,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
VOXX INTERNATIONAL CORP,VOXX,Consumer Discretionary,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
