member,reference,construction,sector_group,entry_date,exit_date,holding_days,exit_reason,direction,entry_z,trade_pnl,trade_gross,trade_cost,profitable
AMPY,SD,peer,13,2019-03-26,2019-04-02,5,time_forced,long_ref_short_m,4.284367608968987,-0.01110972121119809,0.023720795396531325,0.034830516607729414,False
AMPY,SD,peer,13,2019-04-03,2019-04-10,5,time_forced,long_ref_short_m,4.146465376403565,-0.04014186708034441,-0.005311350472614995,0.034830516607729414,False
AMPY,SD,peer,13,2019-04-11,2019-04-18,5,time_forced,long_ref_short_m,4.4879429679154885,-0.06997056589873697,-0.03514004929100756,0.034830516607729414,False
AMPY,SD,peer,13,2019-04-22,2019-04-29,5,time_forced,long_ref_short_m,4.845678743383172,-0.09756157356591963,-0.0627310569581902,0.034830516607729414,False
AMPY,SD,peer,13,2019-04-30,2019-05-07,5,time_forced,long_ref_short_m,6.2574385258637895,0.048141612384262164,0.08297212899199158,0.034830516607729414,True
AMPY,SD,peer,13,2019-05-08,2019-05-15,5,time_forced,long_ref_short_m,4.041891834870296,0.09266936700453773,0.12749988361226716,0.034830516607729414,True
GTE,XPRO,peer,13,2019-05-30,2019-06-06,5,time_forced,long_m_short_ref,-2.583760989873088,-0.028953661560915875,-0.008547231870681016,0.02040642969023486,False
GTE,XPRO,peer,13,2019-06-07,2019-06-14,5,time_forced,long_m_short_ref,-2.6342880179783394,-0.04416947913438716,-0.023763049444152307,0.02040642969023486,False
GTE,XPRO,peer,13,2019-06-17,2019-06-24,5,time_forced,long_m_short_ref,-2.6949371304752727,-0.03252038034867203,-0.012113950658437178,0.02040642969023486,False
GTE,XPRO,peer,13,2019-06-25,2019-07-01,4,period_forced_close,long_m_short_ref,-3.376592360117846,-0.057556744080750066,-0.037162798498414806,0.020393945582335257,False
PUMP,XPRO,peer,13,2019-03-22,2019-03-29,5,time_forced,long_ref_short_m,2.571423550065211,-0.03181775815624772,-0.011437517861385138,0.02038024029486258,False
PUMP,XPRO,peer,13,2019-04-01,2019-04-08,5,time_forced,long_ref_short_m,2.7788277407890956,-0.005580125822393207,0.014800114472469372,0.02038024029486258,False
PUMP,XPRO,peer,13,2019-04-09,2019-04-16,5,time_forced,long_ref_short_m,2.762015729520876,-0.039884394436546684,-0.019504154141684105,0.02038024029486258,False
PUMP,XPRO,peer,13,2019-04-17,2019-04-25,5,time_forced,long_ref_short_m,2.9499203207594054,-0.028943302937479716,-0.008563062642617136,0.02038024029486258,False
PUMP,XPRO,peer,13,2019-04-26,2019-05-03,5,time_forced,long_ref_short_m,3.1549487112491574,-0.0006099302797614812,0.0197703100151011,0.02038024029486258,False
PUMP,XPRO,peer,13,2019-05-06,2019-05-13,5,time_forced,long_ref_short_m,2.9300268973858197,0.005220060279454368,0.025600300574316948,0.02038024029486258,True
PUMP,XPRO,peer,13,2019-05-14,2019-05-21,5,time_forced,long_ref_short_m,2.728362546123046,-0.031820603451871446,-0.01144036315700886,0.02038024029486258,False
PUMP,XPRO,peer,13,2019-05-22,2019-05-30,5,time_forced,long_ref_short_m,2.6052294474044597,0.02100834968295062,0.041388589977813195,0.02038024029486258,True
PUMP,XPRO,peer,13,2019-06-21,2019-06-28,5,time_forced,long_ref_short_m,2.56255555360002,-0.054743554362652,-0.03436331406778942,0.02038024029486258,False
REI,XPRO,peer,13,2019-05-28,2019-06-04,5,time_forced,long_m_short_ref,-2.5770299597996704,-0.04264340855764629,-0.019100070672885106,0.02354333788476118,False
REI,XPRO,peer,13,2019-06-05,2019-06-12,5,time_forced,long_m_short_ref,-2.6923498038218883,-0.07817829431431092,-0.05463495642954974,0.02354333788476118,False
REI,XPRO,peer,13,2019-06-13,2019-06-20,5,time_forced,long_m_short_ref,-3.065141520885434,-0.04690584158294944,-0.023362503698188264,0.02354333788476118,False
REI,XPRO,peer,13,2019-06-21,2019-06-28,5,time_forced,long_m_short_ref,-2.8686923166697635,-0.01426595348997786,0.009277384394783317,0.02354333788476118,False
SD,AMPY,peer,13,2019-01-15,2019-01-23,5,time_forced,long_m_short_ref,-2.8678507398932083,-0.08158190557263052,-0.04675138896490111,0.034830516607729414,False
SD,AMPY,peer,13,2019-01-24,2019-01-31,5,time_forced,long_m_short_ref,-3.853728210606194,-0.012112341082116576,0.022718175525612838,0.034830516607729414,False
SD,AMPY,peer,13,2019-02-01,2019-02-08,5,time_forced,long_m_short_ref,-3.2943751390106115,-0.05487935405073448,-0.020048837443005063,0.034830516607729414,False
SD,AMPY,peer,13,2019-02-11,2019-02-19,5,time_forced,long_m_short_ref,-3.6656679584078744,0.004675210888903478,0.03950572749663289,0.034830516607729414,True
SD,AMPY,peer,13,2019-02-20,2019-02-27,5,time_forced,long_m_short_ref,-2.7360362329120576,-0.05209805345155939,-0.017267536843829978,0.034830516607729414,False
SD,AMPY,peer,13,2019-02-28,2019-03-07,5,time_forced,long_m_short_ref,-2.858862652940511,-0.01010214891829865,0.024728367689430764,0.034830516607729414,False
SD,AMPY,peer,13,2019-03-08,2019-03-15,5,time_forced,long_m_short_ref,-2.573825083617166,-0.08936817791336568,-0.054537661305636254,0.034830516607729414,False
