rebalance_date,hold_end,n_universe,n_with_signal,n_pass_filter,n_delisted,ls_ret,ls_gross,ls_cost,ls_ba_cost,ls_borrow_cost,long_ret,short_ret,ls_naive_net,ls_naive_gross,long_scale,short_scale,mean_beta_long,mean_beta_short,actual_turnover,n_active_longs,n_active_shorts,n_carry_longs,n_carry_shorts,n_long,n_short,mkt_ret,ic,mean_r1m_long,mean_r1m_short,sign_ok
2017-03-01,2017-04-01,393,351,38,1,0.017167208123176132,0.02233950051166691,0.005172292388490775,0.004004862631366994,0.0011674297571237812,0.014860989750862561,0.002029721107010133,-0.04777677240172777,-0.016539904252063857,1.0215487083138821,0.978451291686118,1.0154428371666124,1.0601696042391293,0.17343173431734318,18,20,113,120,131,140,-0.0009063470356434067,-0.09556499056499056,-0.04335814776639483,0.014084838678683249,True
2017-04-01,2017-05-01,404,360,30,1,-0.002505841890248904,0.0018207873111216327,0.004326629201370541,0.003190443323264687,0.001136185878105854,0.03205560096190386,-0.0386310328940284,-0.03330035759682978,-0.0014923936706649939,1.05757227102043,0.94242772897957,0.9720279976710142,1.0907890604040797,0.16117216117216118,12,18,115,128,127,146,0.028886138011818246,0.06113447770523433,-0.03075378251903664,0.036731897949304,True
2017-05-01,2017-06-01,406,361,30,1,-0.017969579626817535,-0.013999391271931,0.003970188354886535,0.0028386238896820704,0.0011315644652044638,-0.01908385956990932,0.002264686759313534,-0.026023732983847227,0.004656042460113724,1.053886892272708,0.946113107727292,0.9699587387835671,1.0804488305895197,0.13186813186813187,13,17,114,129,127,146,-0.013063176850316667,-0.07949386548350627,-0.01983394034252515,0.024386393911781257,True
2017-06-01,2017-07-01,428,379,47,2,-0.022723949249423375,-0.016493437457914616,0.00623051179150876,0.005092047170476947,0.0011384646210318124,0.00860452274934249,-0.03335228185597548,-0.04563506045501247,-0.01332160857730047,1.0482355574083233,0.9517644425916767,0.9899876226110618,1.090333049834533,0.1795774647887324,24,23,109,128,133,151,0.022783107124102673,0.06494416832769381,-0.059254108670644366,0.0512854207989195,True
2017-07-01,2017-08-01,428,377,22,2,-0.008620079974527193,-0.005491371061423306,0.0031287089131038885,0.0019545113360586027,0.0011741975770452858,-0.016788456013506255,0.008264684028075044,0.017011196233840568,0.048477770264147194,1.003844148435531,0.9961558515644693,1.0358690900960534,1.0438638923869874,0.1103202846975089,12,10,124,135,136,145,-0.017141329398491268,0.08143857340817207,-0.021976331064763755,0.013868257289276199,True
2017-08-01,2017-09-01,417,371,38,2,-0.038051842166005115,-0.03312869870876511,0.004923143457240002,0.0037320580035868356,0.0011910854536531668,-0.020010550258826164,-0.018088697802039394,-0.014620879910950322,0.016551774741781,0.9753332287850511,1.0246667712149489,1.0598057595048962,1.0087804175373885,0.1595744680851064,18,20,121,123,139,143,0.002135610394835376,0.08158410215611181,-0.030365331564583056,0.018733519570932937,True
2017-09-01,2017-10-01,414,366,56,2,0.03154721745331136,0.03844808330429578,0.006900865850984404,0.005714690252684128,0.0011861755983002765,0.10070618848247175,-0.06578662260910567,0.03479969197431648,0.06596661091844619,0.9797447805827496,1.0202552194172503,1.0250078611595008,0.9843087130697691,0.16723549488054607,34,22,112,125,146,147,0.07865054518821839,0.12682543868720286,-0.060476133923109285,0.05789107096805567,True
2017-10-01,2017-11-01,390,348,38,2,-0.01193856457816184,-0.007150567554668377,0.004787997023493465,0.0036794148143231417,0.001108582209170324,-0.04046197459338493,0.030715657443790578,-0.03720523348154942,-0.005769225848154244,1.030799667898793,0.9692003321012072,0.9878198822687659,1.0506026183244643,0.20761245674740483,18,20,122,129,140,149,-0.031035293391350114,0.025106869700827476,-0.02234261106258699,0.04030380561278018,True
2017-11-01,2017-12-01,405,365,38,2,-0.02587824348384016,-0.020812282849094213,0.005065960634745952,0.003948076911896634,0.0011178837228493185,0.03043685767961664,-0.0579402685628665,-0.06803416989997237,-0.03660263124789603,1.0183890048082203,0.98161099519178,1.0020369497687134,1.039580258426765,0.1824561403508772,20,18,117,130,137,148,0.042268149705653096,-0.03484538573148463,-0.049566419104366044,0.01701162275360994,True
2017-12-01,2018-01-01,406,366,54,2,-0.002091718017734747,0.004574272295031852,0.006665990312766603,0.005511103234494748,0.0011548870782718541,0.015357348404852304,-0.01774417793921832,-0.019473701775591705,0.012738808431976289,1.0089153446751598,0.9910846553248402,1.010170264213753,1.0283443243965555,0.2542955326460481,26,28,111,126,137,154,0.021415783634382388,0.03788247922336133,-0.07057615489813605,0.05805197786007534,True
2018-01-01,2018-02-01,417,380,37,2,-0.00029316027091164966,0.004381981170030925,0.004675141440942575,0.003498573943166849,0.0011765674977757261,0.007570055353184859,-0.007749643127444313,-0.017202658736590673,0.015540743636099655,0.9925865057464545,1.0074134942535455,1.0059933682443085,0.9911872809780065,0.12251655629139073,20,17,121,144,141,161,0.009836621342847287,0.004390359622732318,-0.050922396451239596,0.02624901956746303,True
2018-02-01,2018-03-01,419,380,45,2,0.011722212120237559,0.017251914457792117,0.0055297023375545555,0.004332874559576306,0.0011968277779782499,-0.026483885458951147,0.03631595797863139,-0.06585901618864361,-0.03335501698239328,0.9699021606250349,1.0300978393749651,1.0558933070712841,0.9941902222990348,0.16612377850162866,23,22,123,139,146,161,-0.03905615722561217,0.023449390966553837,-0.05839796830285837,0.020633927579702633,True
