rebalance_date,hold_end,n_universe,n_with_signal,n_delisted,long_ret,short_ret,ls_ret,ls_gross,ls_cost,ls_ba_cost,ls_borrow_cost,long_scale,short_scale,mean_beta_long,mean_beta_short,long_turnover,short_turnover,avg_turnover,mkt_ret,ic,n_long,n_short
2016-09-01,2016-10-01,396,394,1,0.008451282109694267,-0.06107516093997487,-0.03312893284918883,-0.01429654823482547,0.018832384614363356,0.017881590731329656,0.0009507938830336991,1.2803961360020206,0.7196038639979793,0.6786306000949883,1.2074921239400065,0.6708860759493671,0.6708860759493671,0.6708860759493671,0.03611781166436862,-0.08295614179656002,79,79
2016-10-01,2016-11-01,387,385,1,-0.053919305974698795,0.13997624534773598,0.036454341388639316,0.054346033337331096,0.01789169194869178,0.01689737362629569,0.0009943183223960902,1.2558212276975464,0.7441787723024538,0.7463061821731828,1.259411287741061,0.6363636363636364,0.6883116883116883,0.6623376623376623,-0.08943608746123162,0.31624890653388066,77,77
2016-11-01,2016-12-01,404,402,1,0.12970727958870365,-0.15509541282647268,0.03160458781255446,0.04905206952900276,0.017447481716448315,0.01638721421080102,0.001060267505647296,1.2001129995191242,0.7998870004808757,0.7808408766063084,1.1715370871232755,0.5555555555555556,0.691358024691358,0.6234567901234568,0.12362283173601395,0.05321148443816085,81,81
2016-12-01,2017-01-01,387,385,1,0.031358583681592465,-0.018353438856314398,0.03171458718861753,0.04988565587010578,0.018171068681488257,0.017387756417293183,0.0007833122641950719,1.3763564910092516,0.6236435089907483,0.6495858781350112,1.4336102708515976,0.6493506493506493,0.7272727272727273,0.6883116883116883,0.022156406461213116,0.12367841698019111,77,77
2017-01-01,2017-02-01,384,382,1,-0.03381230287364831,-0.047546164892784355,-0.07766580483579597,-0.057173091776423976,0.020492713059372,0.01948753810696357,0.0010051749524084312,1.2688728724295855,0.7311271275704146,0.7295925387502161,1.2662095898746701,0.6883116883116883,0.7532467532467533,0.7207792207792207,0.002499738214380113,-0.09036729193374309,77,77
2017-02-01,2017-03-01,391,389,1,0.019893055939819684,-0.053050964659795495,-0.017271438251542905,0.0015815379295677223,0.018852976181110634,0.017805878098186796,0.0010470980829238368,1.2177898933708724,0.7822101066291277,0.7394364254940602,1.151197354937652,0.6282051282051282,0.6666666666666666,0.6474358974358974,0.03806840003988744,0.016951298272395807,78,78
2017-03-01,2017-04-01,393,391,1,-0.01818801728905458,-0.02345617671458057,-0.04035194969506465,-0.0223097934729903,0.018042156222074345,0.01712026698360576,0.0009218892384685837,1.2452933186321486,0.7547066813678515,0.7399651292310988,1.2209692244703032,0.6582278481012658,0.6835443037974683,0.6708860759493671,-0.0009063470356434067,-0.028858805390538336,79,79
2017-04-01,2017-05-01,404,402,1,0.034703530979456776,0.013708443955064546,0.05284687215619918,0.07198548774863939,0.019138615592440216,0.018075924494504136,0.0010626910979360795,1.2112350006706505,0.7887649993293494,0.7565200023515363,1.1617192780292371,0.691358024691358,0.6666666666666666,0.6790123456790123,0.028886138011818246,0.21979128044550333,81,81
2017-05-01,2017-06-01,406,404,1,-0.031110735686735655,0.002575775467210927,-0.035801017550088694,-0.018790984516603264,0.01701003303348543,0.016035172412166232,0.0009748606213192001,1.2156963449660385,0.7843036550339615,0.758008867638407,1.1749385635592307,0.6172839506172839,0.654320987654321,0.6358024691358024,-0.013063176850316667,0.034969395966326845,81,81
2017-06-01,2017-07-01,428,426,2,0.01458513635517145,-0.03772296866175987,-0.016160924465528678,0.00455808128175705,0.020719005747285725,0.019567810855420694,0.0011511948918650305,1.1333810092872114,0.8666189907127886,0.8437080922165006,1.1034176949129877,0.6627906976744186,0.8023255813953488,0.7325581395348837,0.022783107124102673,-0.015123418679135291,86,86
2017-07-01,2017-08-01,428,426,2,0.005890930792406646,0.02148876523276256,0.024127047887075415,0.041878224393037476,0.01775117650596206,0.01668351790157559,0.0010676586043864694,1.208532033759654,0.7914679662403462,0.7963195238162512,1.2159401197393838,0.5813953488372093,0.686046511627907,0.6337209302325582,-0.017141329398491268,0.1302855377754547,86,86
2017-08-01,2017-09-01,417,415,2,-0.03466287713183365,-0.046862580806582815,-0.0791054591828515,-0.06136784899745197,0.01773761018539953,0.01668755938029476,0.0010500508051047718,1.1983653718224208,0.8016346281775791,0.7363821449928254,1.1008192909453962,0.6506024096385542,0.6265060240963856,0.6385542168674698,0.002135610394835376,-0.11342009203622685,83,83
2017-09-01,2017-10-01,414,412,2,0.06898892095576079,-0.08771067682581815,0.017538892395944,0.03604915737556398,0.018510264979619977,0.01749621243122841,0.0010140525483915677,1.23140230593664,0.7685976940633599,0.7764943683512017,1.244053895971826,0.6506024096385542,0.7349397590361446,0.6927710843373494,0.07865054518821839,0.04089970005622581,83,83
2017-10-01,2017-11-01,390,388,2,-0.012390407859100259,0.0384258980273443,0.01076456233934877,0.02820082943583755,0.017436267096488777,0.016466491779682922,0.0009697753168058536,1.3005123564672347,0.6994876435327652,0.7054162843628903,1.3115350967942734,0.5769230769230769,0.6666666666666666,0.6217948717948718,-0.031035293391350114,0.21414764629534863,78,78
2017-11-01,2017-12-01,405,403,2,0.024069656416906896,-0.05760422451287193,-0.01625681193300708,0.00374199560658834,0.019998807539595417,0.018974739957500042,0.0010240675820953767,1.211545673675198,0.7884543263248023,0.8030155978406707,1.2339206482542489,0.7654320987654321,0.6790123456790124,0.7222222222222222,0.042268149705653096,-0.08695993354847671,81,81
2017-12-01,2018-01-01,406,404,2,-0.010396883305539398,-0.0664440475909997,-0.06281578162364682,-0.04376115417940865,0.019054627444238165,0.01806480486549753,0.000989822578740633,1.2502383385796143,0.7497616614203857,0.7309988111611743,1.2189510162982182,0.6419753086419753,0.7530864197530864,0.6975308641975309,0.021415783634382388,-0.04036107309353554,81,81
2018-01-01,2018-02-01,417,415,2,-0.005760964445464275,-0.03265539134877875,-0.03084869653341072,-0.014205072890639105,0.016643623642771617,0.015675302974107456,0.0009683206686641587,1.2813839197257504,0.7186160802742495,0.688783786229827,1.2281891430899916,0.5301204819277109,0.6626506024096386,0.5963855421686748,0.009836621342847287,0.01298195267396104,83,83
2018-02-01,2018-03-01,419,418,2,-0.027266108606379576,0.02393171008395829,-0.018141672827120398,0.0005257268589704198,0.018667399686090814,0.01775020940975312,0.0009171902763376933,1.2892168979748655,0.7107831020251344,0.7187783107068194,1.3037185906936368,0.6547619047619048,0.7023809523809523,0.6785714285714286,-0.03905615722561217,0.06191171050886986,84,84
2018-03-01,2018-04-01,426,425,2,0.010976296752294223,-0.011500486282914451,0.004110944297340879,0.024579384474348476,0.020468440177007594,0.019490449371323215,0.00097799080568438,1.2062187378282923,0.7937812621717076,0.8315355062509282,1.2635895511885196,0.7647058823529411,0.6823529411764706,0.7235294117647059,0.017655999450050617,0.04732601837155728,85,85
2018-04-01,2018-05-01,429,428,2,0.023691009955310562,-0.05172401601023445,-0.008407143556115354,0.009683288321802472,0.01809043187791783,0.017089690451585315,0.001000741426332515,1.2602380924429442,0.739761907557056,0.7312855925729775,1.2457980747597457,0.6162790697674418,0.6976744186046512,0.6569767441860466,0.04629947219879031,-0.043757582765720796,86,86
2018-05-01,2018-06-01,422,421,2,0.07669319014967231,-0.13983177793757604,-0.006272180269687774,0.012063530411867987,0.018335710681555744,0.017384297923459323,0.0009514127580964198,1.2626321020645608,0.7373678979354393,0.7455738842790429,1.276683624805851,0.6235294117647059,0.7058823529411765,0.6647058823529413,0.10437888235831967,-0.018935599911293496,85,85
2018-06-01,2018-07-01,429,428,2,0.002393778784105455,-0.022740930852880398,-0.015584787589649223,0.00274790847709098,0.018332696066740203,0.017328614661431162,0.0010040814053090415,1.18947362225016,0.8105263777498398,0.7983668456734814,1.1716291164317485,0.6511627906976745,0.7325581395348837,0.6918604651162791,0.005427655456351027,0.03378757245417157,86,86
2018-07-01,2018-08-01,442,441,2,0.008771405554558293,-0.0030305354410610046,0.007880483435709192,0.026304165250893068,0.018423681815183873,0.017390159704443672,0.0010335221107402013,1.181293341748285,0.8187066582517151,0.7508256757430452,1.0833494055892001,0.6404494382022472,0.6966292134831461,0.6685393258426966,0.000993972232533612,0.11900401933684034,89,89
