date,ls_gross,ls_net,ls_ba,ls_bw,n_long,n_short,skipped,guard_fired,mkt_ret,long_scale,short_scale,beta_long,beta_short,sort_label
2016-10-20,-0.0029825306217428297,-0.004088804895649941,0.0010472314824486353,5.9042791458475684e-05,22,22,False,True,-0.0006133754553481858,0.9291541749747554,1.0708458250252446,1.367416294427069,1.1864831791873196,tercile
2016-10-21,-0.0005000388121270509,-0.0038737974194389757,0.0033145105016323985,5.9248105679526185e-05,22,22,False,True,7.082091916582118e-05,0.9173837408656057,1.0826162591343942,1.3410715615472133,1.1363927296679712,tercile
2016-10-24,0.0022406746114469267,-0.005365014764435704,0.007541245441254811,6.444393462782055e-05,26,26,False,True,0.003192887706252767,0.921540081269749,1.078459918730251,1.3467853628680333,1.150823198150537,tercile
2016-10-25,0.00276554063405959,0.000935161018834448,0.0017655729714944257,6.480664373071618e-05,25,25,False,True,-0.009004121939798722,0.909510136465437,1.0904898635345628,1.3687922692606547,1.1416249570380674,tercile
2016-10-26,-0.002781724967897418,-0.0067258735656498415,0.0038822845459829357,6.186405176948796e-05,27,27,False,True,-0.005441630690704814,0.9213932546968764,1.0786067453031236,1.359607586616275,1.1614365150209365,tercile
2016-10-27,0.0027590310834817583,0.0002827787252754006,0.0024190796976731915,5.717266053316618e-05,28,28,False,True,-0.009843438160167297,0.9782010506929714,1.0217989493070287,1.3519196398081272,1.294236222311289,tercile
2016-10-28,0.0016362225565182435,-0.0016274882835133001,0.0032060415866505963,5.766925338094724e-05,32,32,False,True,-0.0019278725806394711,0.9637252775304718,1.0362747224695281,1.3826522055976558,1.2858529226615407,tercile
2016-10-31,-0.004131712403253116,-0.011093663800696343,0.006908175222203996,5.377617523923182e-05,27,27,False,False,-0.0011180778516301773,1.081696512310328,0.9183034876896718,1.2867937462289774,1.5157519556639283,quintile
2016-11-01,-0.0016181059295449184,-0.0029933107416472058,0.0013222988713529984,5.290594074928887e-05,30,30,False,False,-0.008545922707843398,1.0587912867694642,0.9412087132305357,1.3588526721444782,1.5286103380107336,quintile
2016-11-02,0.0008710761490133886,0.0004675398254618848,0.00035191937434759124,5.1616949203912534e-05,32,32,False,False,-0.009784387251264405,1.079509984664029,0.9204900153359707,1.3530889325557542,1.5868428646661603,quintile
